author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313142900/;Москва;rent;flat;2;7;2;52.6;135300;0;Марьина роща;1-я Ямская ;6;Марьина Роща
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313040605/;Москва;rent;flat;6;8;1;32.0;90000;0;Тверской;Новослободская ;49/2;Менделеевская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/313910443/;Москва;rent;flat;17;44;3;70.0;190000;0;Филевский парк;Багратионовский проезд;5Ак1;Фили
Delight Realty;real_estate_agent;https://www.cian.ru/rent/flat/312977758/;Москва;rent;flat;3;18;4;165.0;800000;0;Пресненский;Средний Тишинский переулок;5;Белорусская
Hedge Property;real_estate_agent;https://www.cian.ru/rent/flat/291682060/;Москва;rent;flat;6;9;3;75.0;210000;0;Дорогомилово;Кутузовский проспект;2/1К1А;Киевская
Delight Realty;real_estate_agent;https://www.cian.ru/rent/flat/313339883/;Москва;rent;flat;3;16;3;137.8;450000;0;Арбат;1-й Смоленский переулок;17;Смоленская
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/313052489/;Москва;rent;flat;4;6;5;168.0;300000;0;Кунцево;Ельнинская ;15к2;Молодёжная
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/310178633/;Москва;rent;flat;19;22;3;100.0;239000;0;Раменки;Минская ;1ГК1;Ломоносовский проспект
SKOLKOVO НЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/rent/flat/313640728/;Москва;rent;flat;27;34;2;51.2;344999;0;Дорогомилово;Поклонная ;9;Поклонная
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/311085077/;Москва;rent;flat;15;57;3;145.0;420000;0;Хорошевский;Чапаевский переулок;3;Аэропорт
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/313504781/;Москва;rent;flat;8;31;2;46.0;95000;0;Богородское;Тюменский проезд;3к1;Бульвар Рокоссовского
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/302389254/;Москва;rent;flat;5;6;4;174.3;310000;0;Тверской;Воротниковский переулок;4;Маяковская
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/rent/flat/313227277/;Москва;rent;flat;4;7;5;207.8;750000;0;Хамовники;1-й Зачатьевский переулок;5;Кропоткинская
House Estate;real_estate_agent;https://www.cian.ru/rent/flat/308489985/;Москва;rent;flat;6;20;2;75.0;260000;0;Алексеевский;Новоалексеевская ;16к4;Алексеевская
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/310626082/;Москва;rent;flat;3;10;2;125.0;450000;0;Тверской;Страстной бульвар;10к1;Пушкинская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312431280/;Москва;rent;flat;7;9;3;70.0;200000;0;Хамовники;Ростовская набережная;3;Смоленская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313539764/;Москва;rent;flat;7;7;3;85.0;200000;0;Басманный;Мясницкая ;40А;Чистые пруды
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/310497094/;Москва;rent;flat;4;8;5;200.0;1300000;0;Арбат;Гоголевский бульвар;29;Арбатская
Point Estate Город;real_estate_agent;https://www.cian.ru/rent/flat/310651550/;Москва;rent;flat;2;6;4;160.0;350000;0;Покровское-Стрешнево;Береговая ;4К1;Стрешнево
Градсити;real_estate_agent;https://www.cian.ru/rent/flat/314037047/;Москва;rent;flat;3;9;1;35.0;43000;0;Рязанский;Окская ;46;Окская
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/311662856/;Москва;rent;flat;5;9;4;220.0;480000;0;Арбат;Филипповский переулок;8С1;Кропоткинская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/304595243/;Москва;rent;flat;3;15;3;150.0;495000;0;Хамовники;Саввинская набережная;9;Киевская
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/311371877/;Москва;rent;flat;21;26;1;30.0;130000;0;Арбат; Новый Арбат;15;Арбатская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312631414/;Москва;rent;flat;5;17;2;53.0;250000;0;Пресненский;Звенигородское шоссе;11;Улица 1905 года
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312925415/;Москва;rent;flat;6;8;3;81.0;430000;0;Таганский;Славянская площадь;2/5с1;Китай-город
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312529564/;Москва;rent;flat;3;13;3;125.0;210000;0;Якиманка; Серафимовича;2;Боровицкая
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311377399/;Москва;rent;flat;14;32;2;44.0;130000;0;Черемушки;Херсонская ;43к5;Зюзино
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312831809/;Москва;rent;flat;5;9;3;114.0;430000;0;Тверской;Большая Грузинская ;69;Белорусская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309182416/;Москва;rent;flat;2;6;-1;380.0;1327000;0;Очаково-Матвеевское;Староволынская ;15к4;Матвеевская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311439867/;Москва;rent;flat;4;16;3;70.0;195000;0;Филевский парк;Большая Филевская ;4;Фили
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313443704/;Москва;rent;flat;8;20;2;57.0;180000;0;Даниловский;проспект Лихачева;16к1;Технопарк
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311206924/;Москва;rent;flat;3;5;4;120.0;320000;0;Пресненский; Спиридоновка;36С1;Баррикадная
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311182490/;Москва;rent;flat;2;7;1;43.0;190000;0;Пресненский;Большой Тишинский переулок;38;Улица 1905 года
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/314057568/;Москва;rent;flat;3;17;1;21.3;44000;0;Южное Бутово;Варшавское шоссе;282к1;Щербинка
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310071958/;Москва;rent;flat;11;14;4;158.0;500000;0;Мещанский; Советской Армии;6;Достоевская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312943535/;Москва;rent;flat;7;21;3;128.0;600000;0;Пресненский; Костикова;4к5;Улица 1905 года
Метражи group;real_estate_agent;https://www.cian.ru/rent/flat/313349189/;Москва;rent;flat;6;32;1;24.0;100001;0;Хорошево-Мневники;Причальный проезд;10к2;Шелепиха
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311039721/;Москва;rent;flat;35;38;2;134.0;380000;0;Раменки;Мосфильмовская ;70к3;Ломоносовский проспект
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310689570/;Москва;rent;flat;2;3;3;142.0;600000;0;Хорошевский;проезд Аэропорта;8;Аэропорт
ID 12649270;realtor;https://www.cian.ru/rent/flat/296669342/;Москва;rent;flat;10;10;-1;30.0;60000;0;Преображенское; Хромова;3;Преображенская площадь
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311525270/;Москва;rent;flat;5;9;5;222.0;480000;0;Арбат;Филипповский переулок;8С1;Кропоткинская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313399959/;Москва;rent;flat;2;7;2;60.0;390000;0;Раменки;Мосфильмовская ;1к4;Ломоносовский проспект
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310322305/;Москва;rent;flat;7;7;3;145.0;400000;0;Пресненский;Рочдельская ;12С1;Краснопресненская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310476803/;Москва;rent;flat;4;8;5;196.0;1300000;0;Арбат;Гоголевский бульвар;29;Арбатская
ID 46115145;homeowner;https://www.cian.ru/rent/flat/313598121/;Москва;rent;flat;40;68;2;68.0;310000;0;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312430154/;Москва;rent;flat;2;6;4;160.0;350000;0;Покровское-Стрешнево;Береговая ;4К2;Стрешнево
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/306273462/;Москва;rent;flat;16;25;3;106.0;450000;0;Пресненский;Зоологическая ;22;Баррикадная
Delight Realty;real_estate_agent;https://www.cian.ru/rent/flat/313471189/;Москва;rent;flat;23;24;5;150.0;420000;0;Пресненский;3-я Красногвардейская ;3;Москва-Сити
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309665047/;Москва;rent;flat;4;4;4;140.0;520000;0;Пресненский;Богословский переулок;8/15С1;Пушкинская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/307638017/;Москва;rent;flat;3;7;5;260.0;580000;0;Хамовники; Плющиха;22;Смоленская
Валдес Тутер;realtor;https://www.cian.ru/rent/flat/271267652/;Москва;rent;flat;4;50;1;25.0;100000;0;Раменки;Мичуринский проспект;56;Раменки
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/313073535/;Москва;rent;flat;18;25;4;250.0;450000;0;Можайский;Можайское шоссе;2;Кунцевская
YES;official_representative;https://www.cian.ru/rent/flat/271261445/;Москва;rent;flat;10;24;-1;29.0;91800;0;Ростокино; 1-я Леонова;18;Ботанический сад
Капиталъ-Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/313908501/;Москва;rent;flat;5;48;3;60.0;170000;0;Даниловский;Дубининская ;59А;Павелецкая
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311440520/;Москва;rent;flat;14;19;3;90.0;300000;0;Красносельский;переулок Докучаев;2с3;Площадь трёх вокзалов
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/310429342/;Москва;rent;flat;4;10;5;215.0;1300000;0;Замоскворечье;Большая Татарская ;7к1;Новокузнецкая
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/309929872/;Москва;rent;flat;3;13;3;125.0;210000;0;Якиманка; Серафимовича;2;Боровицкая
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/rent/flat/308796891/;Москва;rent;flat;4;12;4;140.0;300000;0;Дорогомилово;Кутузовский проспект;11;Киевская
YES;official_representative;https://www.cian.ru/rent/flat/272417974/;Москва;rent;flat;3;14;-1;20.0;85500;0;Ростокино; 1-я Леонова;18;Ботанический сад
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/309289931/;Москва;rent;flat;1;12;3;70.0;90000;0;Лефортово; 2-я Синичкина;11;Сортировочная
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313188317/;Москва;rent;flat;12;32;3;85.0;500000;0;Дорогомилово;Поклонная ;9;Поклонная
Delight Realty;real_estate_agent;https://www.cian.ru/rent/flat/313864652/;Москва;rent;flat;3;4;4;152.0;500000;0;Арбат;Староконюшенный переулок;33;Кропоткинская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313076876/;Москва;rent;flat;2;9;3;98.0;220000;0;Хамовники;Фрунзенская набережная;44С1;Фрунзенская
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/312119923/;Москва;rent;flat;18;18;4;250.0;450000;0;Можайский;Можайское шоссе;2;Кунцевская
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/312474108/;Москва;rent;flat;5;11;5;177.0;790000;0;Тверской;Страстной бульвар;10к1;Пушкинская
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/311142147/;Москва;rent;flat;3;4;4;150.0;275000;0;Арбат;Большой Николопесковский переулок;13;Смоленская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313028763/;Москва;rent;flat;4;10;5;215.0;1300000;0;Замоскворечье;Большая Татарская ;7к1;Новокузнецкая
Тимур Данилян;realtor;https://www.cian.ru/rent/flat/311753975/;Москва;rent;flat;5;17;2;45.0;220000;0;Даниловский;бульвар Братьев Весниных;2;ЗИЛ
ЦЗН ПРОСПЕКТ МИРА;real_estate_agent;https://www.cian.ru/rent/flat/312891228/;Москва;rent;flat;2;17;2;52.0;70000;0;Северное Измайлово;13-я Парковая ;28К2;Щёлковская
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/312583842/;Москва;rent;flat;6;7;-1;264.7;500000;0;Арбат; Знаменка;8/13;Боровицкая
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313636385/;Москва;rent;flat;9;13;3;120.0;180000;0;Нагатинский затон;Коломенская ;21К3;Кленовый бульвар
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/307742515/;Москва;rent;flat;5;5;3;175.0;330000;0;Академический; Дмитрия Ульянова;31;Академическая
ID 126320978;homeowner;https://www.cian.ru/rent/flat/311988148/;Москва;rent;flat;15;21;2;45.0;160000;0;Хорошевский;Хорошевское шоссе;25Ак3;Хорошёвская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313393534/;Москва;rent;flat;19;34;2;52.0;230000;0;Дорогомилово;Поклонная ;9;Поклонная
ID 21869191;unknown;https://www.cian.ru/rent/flat/269861855/;Москва;rent;flat;8;10;-1;28.0;90000;0;Даниловский;Летниковская ;13;Павелецкая
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/309523527/;Москва;rent;flat;10;10;2;66.0;150000;0;Замоскворечье;Валовая ;8/18;Павелецкая
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/309055257/;Москва;rent;flat;30;47;3;135.0;249000;0;Обручевский;Ленинский проспект;111к1;Новаторская
Тимур Мулекаев;realtor;https://www.cian.ru/rent/flat/313481228/;Москва;rent;flat;6;9;4;160.0;580000;0;Замоскворечье;Мытная ;7с1;Серпуховская
ID 448371;unknown;https://www.cian.ru/rent/flat/311424893/;Москва;rent;flat;7;10;2;63.0;158000;0;Хамовники;Фрунзенская набережная;36/2;Фрунзенская
MERSI;real_estate_agent;https://www.cian.ru/rent/flat/313691109/;Москва;rent;flat;8;23;3;102.4;210000;0;Басманный;набережная Академика Туполева;15;Бауманская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313538367/;Москва;rent;flat;8;14;2;60.0;300000;0;Пресненский; Пресненский Вал;14к4;Улица 1905 года
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/rent/flat/313871778/;Москва;rent;flat;4;4;3;152.2;390000;0;Басманный;Малый Козловский переулок;8;Красные ворота
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/309084555/;Москва;rent;flat;5;16;4;200.0;650000;0;Арбат; Новый Арбат;27;Смоленская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/313446336/;Москва;rent;flat;13;39;3;155.0;230000;0;Сокольники;Русаковская ;31;Сокольники
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/rent/flat/310732316/;Москва;rent;flat;3;10;2;125.0;450000;0;Тверской;Страстной бульвар;10к1;Пушкинская
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/313376604/;Москва;rent;flat;8;10;4;190.0;400000;0;Басманный;Подсосенский переулок;3;Курская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312945637/;Москва;rent;flat;18;30;4;165.0;400000;0;Покровское-Стрешнево;Сосновая аллея;1;Щукинская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312895028/;Москва;rent;flat;9;19;4;90.0;300000;0;Беговой;Ленинградский проспект;29к1;Динамо
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313484386/;Москва;rent;flat;5;5;3;72.0;320000;0;Тверской; Петровка;26С3;Трубная
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312355316/;Москва;rent;flat;4;9;4;159.0;350000;0;Хамовники; Знаменка;13С1;Боровицкая
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/311548534/;Москва;rent;flat;7;11;3;130.0;380000;0;Тверской;Лесная ;4с1;Белорусская
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/311276148/;Москва;rent;flat;4;21;2;80.0;115000;0;Обручевский; Воронцовские Пруды;3;Воронцовская
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/311184832/;Москва;rent;flat;5;7;3;115.0;370000;0;Якиманка; Большая Полянка;61С2;Добрынинская
NIKA ESTATE;real_estate_agent;https://www.cian.ru/rent/flat/309889983/;Москва;rent;flat;3;15;1;33.0;150000;0;Аэропорт;Ленинградский проспект;36с39;Динамо
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313484383/;Москва;rent;flat;4;17;3;130.0;250000;0;Академический; Ферсмана;11;Академическая
Point Estate Город;real_estate_agent;https://www.cian.ru/rent/flat/312428780/;Москва;rent;flat;6;11;3;130.0;380000;0;Тверской;Лесная ;4с1;Белорусская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/314016538/;Москва;rent;flat;9;16;3;83.2;104600;0;; Большое Понизовье;14;Филатов Луг
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/313443708/;Москва;rent;flat;5;6;4;350.0;1300000;0;Таганский;Серебряническая набережная;19;Чкаловская
ID 26060750;homeowner;https://www.cian.ru/rent/flat/310326327/;Москва;rent;flat;15;25;1;22.5;60000;0;Нижегородский;Рязанский проспект;2/1к2Г;Нижегородская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313379098/;Москва;rent;flat;15;18;3;120.0;200000;0;Филевский парк;Кастанаевская ;17;Филёвский парк
Soul Estate;real_estate_agent;https://www.cian.ru/rent/flat/310403888/;Москва;rent;flat;2;14;2;63.0;400000;0;Хамовники; Усачева;15А;Спортивная
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312034891/;Москва;rent;flat;9;19;4;90.0;300000;0;Беговой;Ленинградский проспект;29к1;Динамо
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312934494/;Москва;rent;flat;7;21;4;118.0;220000;0;Якиманка; Шаболовка;23к3;Шаболовская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313282179/;Москва;rent;flat;5;5;3;125.0;650000;0;Пресненский;Столярный переулок;3к34;Улица 1905 года
Тимур Мулекаев;realtor;https://www.cian.ru/rent/flat/313483194/;Москва;rent;flat;7;8;2;65.0;250000;0;Красносельский;Милютинский переулок;3;Лубянка
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311432894/;Москва;rent;flat;6;8;4;165.0;620000;0;Пресненский;Малый Козихинский переулок;7;Пушкинская
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/rent/flat/310635025/;Москва;rent;flat;4;4;-1;400.0;875000;0;Крылатское;Осенняя ;25К3;Крылатское
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313151704/;Москва;rent;flat;3;22;3;100.0;200000;0;Щукино; Расплетина;22к2;Октябрьское поле
Delight Realty;real_estate_agent;https://www.cian.ru/rent/flat/312683548/;Москва;rent;flat;2;6;4;168.0;350000;0;Покровское-Стрешнево;Береговая ;4К1;Стрешнево
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/311753516/;Москва;rent;flat;4;15;3;140.0;320000;0;Раменки;Мосфильмовская ;70к5;Ломоносовский проспект
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311389038/;Москва;rent;flat;12;15;4;156.0;400000;0;Раменки;Мичуринский проспект;6к3;Ломоносовский проспект
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/305910646/;Москва;rent;flat;3;12;-1;330.0;800000;0;Войковский;Ленинградское шоссе;37к1;Водный стадион
Delight Realty;real_estate_agent;https://www.cian.ru/rent/flat/306516478/;Москва;rent;flat;6;10;4;132.0;500000;0;Тверской;Большая Грузинская ;69;Белорусская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/313341421/;Москва;rent;flat;13;25;1;40.0;75000;0;Нижегородский;Рязанский проспект;2/2к2;Нижегородская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/307848619/;Москва;rent;flat;3;5;4;165.0;325000;0;Крылатское;Осенняя ;25К1;Крылатское
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/313903900/;Москва;rent;flat;6;33;3;60.0;110000;0;Нижегородский;Новохохловская ;15к3;Калитники
Самолет Плюс;real_estate_agent;https://www.cian.ru/rent/flat/312007885/;Москва;rent;flat;7;9;3;63.0;130000;0;Отрадное; Бестужевых;10;Отрадное
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/298511681/;Москва;rent;flat;4;4;4;255.0;750000;0;Тверской;переулок Столешников;9С1;Чеховская
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/313520445/;Москва;rent;flat;7;8;4;120.0;350000;0;Пресненский;Малая Бронная ;38;Маяковская
Арбат Престиж;real_estate_agent;https://www.cian.ru/rent/flat/313994938/;Москва;rent;flat;17;44;3;70.0;200000;0;Филевский парк;Багратионовский проезд;5Ак1;Фили
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313801523/;Москва;rent;flat;8;8;3;100.0;350000;0;Даниловский;2-й Павелецкий проезд;5С1;Пролетарская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312094334/;Москва;rent;flat;26;36;3;125.0;650000;0;Беговой;Ленинградский проспект;34А;Динамо
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/309806155/;Москва;rent;flat;6;11;3;75.0;210000;0;Дорогомилово;Кутузовский проспект;2/1К1А;Киевская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313494759/;Москва;rent;flat;4;10;2;52.0;200000;0;Гагаринский;Ленинский проспект;72/2;Вавиловская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313053258/;Москва;rent;flat;4;6;4;100.0;400000;0;Пресненский;Малая Бронная ;36;Маяковская
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/rent/flat/313193053/;Москва;rent;flat;38;40;3;153.0;330000;0;Раменки;Мосфильмовская ;70к2;Ломоносовский проспект
Hedge Property;real_estate_agent;https://www.cian.ru/rent/flat/272363573/;Москва;rent;flat;7;17;2;64.0;110000;0;Хорошевский; Полины Осипенко;22К2;Полежаевская
Monumental Group;real_estate_agent;https://www.cian.ru/rent/flat/312576488/;Москва;rent;flat;19;22;3;100.0;239000;0;Раменки;Минская ;1ГК1;Ломоносовский проспект
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/304945064/;Москва;rent;flat;25;28;5;200.0;360000;0;Ломоносовский; Архитектора Власова;8;Профсоюзная
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313513119/;Москва;rent;flat;11;32;1;19.7;41900;0;Митино;Муравская ;38Бк4;Пятницкое шоссе
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313392662/;Москва;rent;flat;5;9;3;120.0;650000;0;Пресненский;Столярный переулок;3к4;Улица 1905 года
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/312220334/;Москва;rent;flat;4;6;5;168.0;300000;0;Кунцево;Ельнинская ;15к2;Молодёжная
Point Estate Город;real_estate_agent;https://www.cian.ru/rent/flat/313919137/;Москва;rent;flat;2;11;2;94.0;350000;0;Дорогомилово;Кутузовский проспект;12;Киевская
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/311424690/;Москва;rent;flat;4;16;3;140.0;320000;0;Раменки;Мосфильмовская ;70к5;Ломоносовский проспект
Delight Realty;real_estate_agent;https://www.cian.ru/rent/flat/311615240/;Москва;rent;flat;6;8;4;160.0;620000;0;Пресненский;Малый Козихинский переулок;7;Пушкинская
SUNRISE Estate;real_estate_agent;https://www.cian.ru/rent/flat/313358666/;Москва;rent;flat;15;36;1;45.5;149000;0;Хорошево-Мневники;Шелепихинская набережная;34к2зд1;Шелепиха
ID 104096708;homeowner;https://www.cian.ru/rent/flat/312618174/;Москва;rent;flat;4;16;3;75.0;130000;0;Коньково;Миклухо-Маклая ;22;Беляево
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/313714747/;Москва;rent;flat;2;11;2;92.0;350000;0;Дорогомилово;Кутузовский проспект;12;Киевская
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/313926934/;Москва;rent;flat;14;41;1;42.0;160000;0;Хорошевский;Ленинградский проспект;37/5;Аэропорт
EstateLiga;real_estate_agent;https://www.cian.ru/rent/flat/313485508/;Москва;rent;flat;13;25;1;34.0;74990;0;Нижегородский;Рязанский проспект;2/2к2;Нижегородская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312164858/;Москва;rent;flat;3;10;1;37.2;70000;0;Северное Бутово;Феодосийская ;7к6;Бульвар Дмитрия Донского
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311637225/;Москва;rent;flat;5;5;5;192.0;1012000;0;Хамовники;Большой Знаменский переулок;4;Кропоткинская
Point Estate Город;real_estate_agent;https://www.cian.ru/rent/flat/313861185/;Москва;rent;flat;2;18;3;120.0;300000;0;Раменки;Ломоносовский проспект;25к5;Университет
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/311293494/;Москва;rent;flat;7;10;1;51.0;95000;0;Щукино; Маршала Рыбалко;2к9;Панфиловская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313630450/;Москва;rent;flat;6;9;2;73.0;125000;0;Филевский парк;Большая Филевская ;16к1;Фили
Monumental Group;real_estate_agent;https://www.cian.ru/rent/flat/312967954/;Москва;rent;flat;7;17;2;62.0;110000;0;Хорошевский; Полины Осипенко;22К2;Полежаевская
Delight Realty;real_estate_agent;https://www.cian.ru/rent/flat/307720856/;Москва;rent;flat;23;53;3;150.0;400000;0;Раменки;Мосфильмовская ;8;Ломоносовский проспект
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312405881/;Москва;rent;flat;17;21;3;140.0;350000;0;Красносельский;Грохольский переулок;28;Проспект Мира
Point Estate Город;real_estate_agent;https://www.cian.ru/rent/flat/313606210/;Москва;rent;flat;16;22;3;80.0;200000;0;Пресненский;Шмитовский проезд;16С2;Москва-Сити
Delight Realty;real_estate_agent;https://www.cian.ru/rent/flat/312798295/;Москва;rent;flat;6;9;3;115.0;280000;0;Хамовники;Гагаринский переулок;16;Кропоткинская
Бизнес Аренда;real_estate_agent;https://www.cian.ru/rent/flat/271712909/;Москва;rent;flat;3;15;-1;33.0;105000;0;Хорошевский;Ходынский бульвар;20А;ЦСКА
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/307480940/;Москва;rent;flat;6;7;2;70.0;215000;0;Арбат;Большой Николопесковский переулок;6;Смоленская
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/rent/flat/309625385/;Москва;rent;flat;2;8;1;76.0;255000;0;Пресненский;Малый Козихинский переулок;14;Пушкинская
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/311786235/;Москва;rent;flat;5;7;4;140.0;410000;0;Хамовники;1-й Зачатьевский переулок;4;Кропоткинская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313074823/;Москва;rent;flat;4;6;4;100.0;400000;0;Пресненский;Малая Бронная ;36;Маяковская
